ID,Percentage
CONTROL01_DCHA,95.0
CONTROL01_IZDA,95.0
CONTROL02_DCHA,95.0
CONTROL02_IZDA,95.0
CONTROL03_IZDA,95.0
CONTROL04_DCHA,95.0
CONTROL04_IZDA,95.0
CONTROL05_DCHA,95.0
CONTROL05_IZDA,95.0
CONTROL06_DCHA,95.0
CONTROL06_IZDA,95.0
CONTROL07_DCHA,95.0
CONTROL07_IZDA,95.0
CONTROL08_DCHA,95.0
CONTROL08_IZDA,95.0
CONTROL09_DCHA,95.0
CONTROL09_IZDA,95.0
CONTROL10_DCHA,95.0
CONTROL10_IZDA,95.0
CONTROL1000_DCHA,95.0
CONTROL1000_IZDA,95.0
CONTROL1002_DCHA,95.0
CONTROL1002_IZDA,95.0
CONTROL101_DCHA,95.0
CONTROL101_IZDA,95.0
CONTROL102_DCHA,95.0
CONTROL102_IZDA,95.0
CONTROL103_DCHA,95.0
CONTROL103_IZDA,95.0
CONTROL104_DCHA,95.0
CONTROL104_IZDA,95.0
CONTROL105_DCHA,95.0
CONTROL105_IZDA,95.0
CONTROL106_DCHA,95.0
CONTROL106_IZDA,95.0
CONTROL107_DCHA,95.0
CONTROL107_IZDA,95.0
CONTROL108_DCHA,95.0
CONTROL108_IZDA,95.0
CONTROL109_DCHA,95.0
CONTROL109_IZDA,95.0
CONTROL11_DCHA,95.0
CONTROL11_IZDA,95.0
CONTROL110_DCHA,95.0
CONTROL110_IZDA,95.0
CONTROL12_DCHA,95.0
CONTROL12_IZDA,95.0
CONTROL13_DCHA,95.0
CONTROL13_IZDA,95.0
CONTROL14_DCHA,95.0
CONTROL14_IZDA,95.0
CONTROL15_DCHA,95.0
CONTROL15_IZDA,95.0
CONTROL16_DCHA,95.0
CONTROL16_IZDA,95.0
CONTROL17_DCHA,95.0
CONTROL17_IZDA,95.0
CONTROL18_DCHA,95.0
CONTROL18_IZDA,95.0
CONTROL19_DCHA,95.0
CONTROL20_DCHA,95.0
CONTROL20_IZDA,95.0
CONTROL21_DCHA,95.0
CONTROL21_IZDA,95.0
CONTROL22_DCHA,95.0
CONTROL22_IZDA,95.0
CONTROL23_DCHA,95.0
CONTROL23_IZDA,95.0
CONTROL24_DCHA,95.0
CONTROL24_IZDA,95.0
CONTROL25_DCHA,95.0
CONTROL25_IZDA,95.0
CONTROL995_DCHA,95.0
CONTROL995_IZDA,95.0
CONTROL996_DCHA,95.0
CONTROL996_IZDA,95.0
CONTROL997_DCHA,95.0
CONTROL997_IZDA,95.0
CONTROL998_DCHA,95.0
CONTROL998_IZDA,95.0
CONTROL999_DCHA,95.0
CONTROL999_IZDA,95.0
ID01_DCHA,95.0
ID01_IZDA,95.0
ID08_DCHA,95.0
ID08_IZDA,95.0
ID1000_DCHA,95.0
