ID,Percentage
fis_0000,95
fis_0001,95
fis_0002,95
fis_0003,95
fis_0004,95
fis_0005,95
fis_0006,95
fis_0007,95
fis_0008,95
fis_0009,95
fis_0010,95
fis_0011,95
fis_0012,95
fis_0013,95
fis_0014,95
fis_0015,95
fis_0016,95
fis_0017,95
fis_0018,95
fis_0019,95
fis_0020,95
fis_0021,95
fis_0022,95
fis_0023,95
fis_0024,95
fis_0025,95
fis_0026,95
fis_0027,95
fis_0028,95
fis_0029,95
fis_0030,95
fis_0031,95
fis_0032,95
fis_0033,95
fis_0034,95
fis_0035,95
fis_0036,95
fis_0037,95
fis_0038,95
fis_0039,95
fis_0040,95
fis_0041,95
fis_0042,95
fis_0043,95
fis_0044,95
fis_0045,95
fis_0046,95
fis_0047,95
fis_0048,95
fis_0049,95
fis_0050,95
fis_0051,95
fis_0052,95
fis_0053,95
fis_0054,95
fis_0055,95
fis_0056,95
fis_0057,95
fis_0058,95
fis_0059,95
fis_0060,95
fis_0061,95
fis_0062,95
fis_0063,95
fis_0064,95
fis_0065,95
fis_0066,95
fis_0067,95
fis_0068,95
fis_0069,95
fis_0070,95
fis_0071,95
fis_0072,95
fis_0073,95
fis_0074,95
fis_0075,95
fis_0076,95
fis_0077,95
fis_0078,95
fis_0079,95
fis_0080,95
fis_0081,95
fis_0082,95
fis_0083,95
fis_0084,95
fis_0085,95
fis_0086,95
fis_0087,95
fis_0088,95
fis_0089,95
fis_0090,95
fis_0091,95
fis_0092,95
fis_0093,95
fis_0094,95
fis_0095,95
fis_0096,95
fis_0097,95
fis_0098,95
fis_0099,95
fis_0100,95
fis_0101,95
fis_0102,95
fis_0103,95
fis_0104,95
fis_0105,95
fis_0106,95
fis_0107,95
fis_0108,95
fis_0109,95
fis_0110,95
fis_0111,95
fis_0112,95
fis_0113,95
fis_0114,95
fis_0115,95
fis_0116,95
fis_0117,95
fis_0118,95
fis_0119,95
fis_0120,95
fis_0121,95
fis_0122,95
fis_0123,95
fis_0124,95
fis_0125,95
fis_0126,95
fis_0127,95
fis_0128,95
fis_0129,95
fis_0130,95
fis_0131,95
fis_0132,95
fis_0133,95
fis_0134,95
fis_0135,95
fis_0136,95
fis_0137,95
fis_0138,95
fis_0139,95
fis_0140,95
fis_0141,95
fis_0142,95
fis_0143,95
fis_0144,95
fis_0145,95
fis_0146,95
fis_0147,95
fis_0148,95
fis_0149,95
fis_0150,95
fis_0151,95
fis_0152,95
fis_0153,95
fis_0154,95
fis_0155,95
fis_0156,95
fis_0157,95
fis_0158,95
fis_0159,95
fis_0160,95
fis_0161,95
fis_0162,95
fis_0163,95
fis_0164,95
fis_0165,95
fis_0166,95
fis_0167,95
fis_0168,95
fis_0169,95
fis_0170,95
fis_0171,95
fis_0172,95
fis_0173,95
fis_0174,95
fis_0175,95
fis_0176,95
fis_0177,95
fis_0178,95
fis_0179,95
fis_0180,95
fis_0181,95
fis_0182,95
fis_0183,95
fis_0184,95
fis_0185,95
fis_0186,95
fis_0187,95
fis_0188,95
fis_0189,95
fis_0190,95
fis_0191,95
fis_0192,95
fis_0193,95
fis_0194,95
fis_0195,95
fis_0196,95
fis_0197,95
fis_0198,95
fis_0199,95
fis_0200,95
fis_0201,95
fis_0202,95
fis_0203,95
fis_0204,95
fis_0205,95
fis_0206,95
fis_0207,95
fis_0208,95
fis_0209,95
fis_0210,95
fis_0211,95
fis_0212,95
fis_0213,95
fis_0214,95
fis_0215,95
fis_0216,95
fis_0217,95
fis_0218,95
fis_0219,95
fis_0220,95
fis_0221,95
fis_0222,95
