ID,ACCELERATION__range_count__max_1__min_-1,VELOCITY__range_count__max_1__min_-1,level_0__abs_energy,"level_0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",level_0__c3__lag_1,level_0__c3__lag_2,level_0__c3__lag_3,"level_0__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)","level_0__fft_aggregated__aggtype_""kurtosis""","level_0__linear_trend__attr_""intercept""",level_0__minimum,level_0__time_reversal_asymmetry_statistic__lag_1,level_0__time_reversal_asymmetry_statistic__lag_2,level_0__time_reversal_asymmetry_statistic__lag_3
CONTROL01_DCHA,44.0,44.0,1113775.0,9.000000000000014,4.500000000000014,1.4210854715202004e-14,49.00000000000001,24.500000000000007,7.105427357601002e-15,4.000000000000014,2.000000000000014,1.4210854715202004e-14,821362.5,810187.5,799012.5,-69.31045621707169,-1.5851426526923083,-15.802676582095273,-67.59862718929831,-14.155751907920157,-65.76260940154533,-63.81516364604769,-0.4192402360293915,-61.776605796656874,-27.406966034038632,-77.56747154563324,-9.662168085619735,-77.3707069669767,-9.283305604170009,-76.97869782431002,-76.40911025305257,-7.595671158475933,-75.65138528550786,-23.585261110275173,-74.71130394734257,-5.292236363904523,-22.208209064461904,-73.59598330681936,-4.159225071413563,-20.706156717463347,-72.31378676314918,-0.0018846103927921036,-70.88596353091873,-2.274940697338196,6.345920156976575,0.0,0.0,29502.0,58612.0,87338.0
CONTROL01_DCHA_aug0_005,45.0,45.0,170449839775.0,33644.0,33639.5,33635.0,33684.0,33659.5,33635.0,33639.0,33637.0,33635.0,38305313841217.5,38305308784792.5,38305303728367.5,57508.05760666184,17641.757165225416,55378.50873929733,61686.857860281525,53879.875300920816,65436.57285453031,68503.07458284408,5795.992591558136,71386.45737124534,9295.956761059435,6540.609074054316,12733.377395473994,13107.856724077108,24003.133563991378,19081.099143151718,25409.67001945642,37903.392668936685,31543.984189722687,46293.56029980349,37439.09810734162,38103.542586569856,50499.32248224341,43053.08429160541,34299.558775281344,53593.527716813594,47952.51996296652,55.15475894449301,52921.30168270735,23199.08229096733,1209.894149788804,33635.0,33635.0,4545328862.0,9090657332.0,13635985418.0
CONTROL01_DCHA_aug0_007,46.0,45.0,173486992075.0,33943.0,33938.5,33934.0,33983.0,33958.5,33934.0,33938.0,33936.0,33934.0,39333671558149.5,39333666456874.5,39333661355599.5,58019.894474531124,17798.598531363466,55870.939216875144,62235.82716278759,54358.968961833736,66018.85911300211,69112.60334854113,5847.520081901715,72021.59998932516,9378.837265129472,6599.441682560947,12846.657277427703,13225.067457002287,24216.59313420125,19251.405825904476,25636.229783387138,38240.40427927371,31825.068507751705,46705.29886150119,37772.578975901175,38442.31296302473,50948.43613399605,43436.461053972445,34604.50337709806,54070.13410682923,48379.43910347888,55.645076661817775,53392.37836194705,23405.331906316518,1220.5998362811233,33934.0,33934.0,4626319590.0,9252638788.0,13878957602.0
CONTROL01_IZDA,68.0,68.0,7841275.0,159.0,154.5,150.0,199.0,174.5,150.0,154.0,152.0,150.0,12543937.5,12510262.5,12476587.5,187.46389221259415,77.09781694836936,231.23602454416744,207.8040329302359,226.19223851646956,226.35424267485607,241.96849807458935,25.430671307574787,256.8568146450346,14.171882161710418,-48.05278500364208,47.167204131831504,-18.56933593511045,97.80343530379251,8.459437336871318,37.24963419339854,161.47369857585653,65.36081439491748,182.9725457616458,92.58679064738271,164.65945750974097,203.09964298537133,118.73349614127993,148.8230166426615,218.3940389427011,141.85969509977042,0.2440941775730329,165.44012973311607,101.1947659995461,11.2512745270029,150.0,150.0,208902.0,417412.0,625538.0
CONTROL02_DCHA,40.0,40.0,21318775.0,309.0,304.5,300.0,349.0,324.5,300.0,304.0,302.0,300.0,54574012.5,54517837.5,54461662.5,444.23824064226153,155.7807765494312,478.2747256704321,483.20669304977366,466.54022894085733,518.4710947512534,547.7521597952294,51.280582851178806,575.4902350867286,55.75073035746059,-18.53809846164837,103.9965763492806,40.23203509675199,204.89017621175628,93.89757249804553,150.90837863985627,330.5430683101885,206.3730140753474,389.53035263356566,259.8848852421014,334.6111513833861,428.40749503520834,311.06297558938377,301.80525835673706,457.4942346028629,356.0331769626824,0.49007296553868457,401.7662229971529,204.6644726964307,16.506469717778387,300.0,300.0,568302.0,1136212.0,1703738.0
CONTROL02_IZDA,51.0,51.0,41546275.0,459.0,454.5,450.0,499.0,474.5,450.0,454.0,452.0,450.0,147161587.5,147082912.5,147004237.5,701.012589071939,234.46373615049245,725.3134267966932,758.6093531693155,706.8882193652487,810.5879468276446,853.5358215158695,77.13049439478314,894.1236555284165,97.32957855320933,10.976588080341267,160.82594856673174,99.03340612861443,311.9769171197201,179.3357076592116,264.567123086314,499.61243804452283,347.38521375578546,596.0881595054856,427.18297983682004,504.56284525703234,653.7153470850417,503.39245503748356,454.78750007081146,696.5944302630269,570.2066588256025,0.7360517535045422,638.0923162611816,308.13417939331515,21.82658558623588,450.0,450.0,1107702.0,2215012.0,3321938.0
CONTROL03_IZDA,56.0,56.0,68523775.0,609.0,604.5,600.0,649.0,624.5,600.0,604.0,602.0,600.0,310556662.5,310455487.5,310354312.5,957.7869375015922,313.1466957515543,972.3521279229585,1034.012013288845,947.2362097896386,1102.7047989040561,1159.3194832365016,102.98040593838704,1212.7570759700964,138.90842674896237,40.49127462235124,217.65532078417985,157.83477716047688,419.0636580276854,264.77384282039395,378.2258675327636,668.6818077788525,488.3974134362113,802.6459663774054,594.4810744315469,674.5145391306766,879.0231991348751,695.7219344855794,607.7697417848876,935.6946259231909,784.3801406885348,0.9820305414704752,874.4184095252225,411.6038860901989,27.169207285770106,600.0,600.0,1827102.0,3653812.0,5480138.0
CONTROL03_IZDA_aug1_003,49.0,49.0,218949315775.0,38140.0,38135.5,38131.0,38180.0,38155.5,38131.0,38135.0,38133.0,38131.0,55767258092377.5,55767252361552.5,55767246630727.5,65204.44074359316,20000.1477410012,62783.08207438831,69941.59359293043,61083.905733907835,74192.28863410077,77668.43020348542,6570.800606891764,80936.96309328303,10542.213437646727,7425.262612005935,14436.743112071912,14870.3298184733,27212.880144806193,21641.96484771497,28816.40145299821,42970.96524444041,35770.589854810714,52484.786297777646,42453.57966266103,43197.56135760925,57252.54983435069,48817.83988893077,38884.94650025793,60760.157581400556,54372.01312600288,62.52756314910868,60004.782451475556,26300.414299695265,1370.873328715236,38131.0,38131.0,5838648222.0,11677296052.0,17515943498.0
CONTROL04_DCHA,78.0,78.0,102251275.0,759.0,754.5,750.0,799.0,774.5,750.0,754.0,752.0,750.0,565009237.5,564885562.5,564761887.5,1214.5612859312657,391.82965535261593,1219.3908290492197,1309.414673408383,1187.5842002140257,1394.8216509804636,1465.1031449571376,128.83031748199133,1531.3904964117842,180.48727494470393,70.00596116434495,274.4846930016371,216.63614819234743,526.1503989356452,350.21197798157635,491.88461197920907,837.7511775131894,629.4096131166493,1009.2037732493268,761.7791690262696,844.4662330043241,1104.3310511847114,888.0514139336832,760.7519834989615,1174.7948215833562,998.5536225514305,1.228009329436569,1110.7445027892552,515.0735927870834,32.522136233229354,750.0,750.0,2726502.0,5452612.0,8178338.0
CONTROL04_IZDA,77.0,77.0,142728775.0,909.0,904.5,900.0,949.0,924.5,900.0,904.0,902.0,900.0,930769312.5,930623137.5,930476962.5,1471.335634360931,470.5126149536769,1466.4295301754864,1584.8173335279207,1427.9321906384184,1686.9385030568467,1770.8868066777898,154.68022902559528,1850.0239168534883,222.0661231404541,99.52064770633865,331.31406521908417,275.43751922418545,633.237139843611,435.6501131427668,605.5433564256628,1006.8205472475186,770.421812797063,1215.761580121248,929.0772636209923,1014.4179268779676,1329.6389032345435,1080.3808933817952,913.7342252130372,1413.8950172435202,1212.7271044143588,1.4739881174020977,1347.07059605328,618.5432994839683,37.88061098614556,900.0,900.0,3805902.0,7611412.0,11416538.0
