ID,SMOOTHED_AMPLITUDE_mean,SMOOTHED_AMPLITUDE_std,SMOOTHED_AMPLITUDE_max,VELOCITY_mean,VELOCITY_std,VELOCITY_max,ACCELERATION_mean,ACCELERATION_std,ACCELERATION_max,DISTANCE_ANG_mean,DISTANCE_ANG_std,FREQUENCY_mean,FREQUENCY_std,FREQUENCY_count,INTERVAL_STD,INTERVAL_CV
CONTROL01_DCHA,0.495316471,0.277166731,0.920610307,0.039367511,2.41963961,4.115690043,0.039367511,2.41963961,4.115690043,0.338295683,0.237234168,0.124726817,0.410977983,150,0.137801263,0.268027856
CONTROL01_IZDA,0.426434519,0.214061126,0.789187006,0.036378071,1.593744941,3.107844109,0.036378071,1.593744941,3.107844109,0.265005601,0.189171574,0.076077934,0.286055347,150,0.024915226,0.056691779
CONTROL02_DCHA,0.359582608,0.180347099,0.6420077,0.018685368,1.969558839,2.835389793,0.018685368,1.969558839,2.835389793,0.181164706,0.126846235,0.210718372,0.598015266,150,0.070414527,0.135902126
CONTROL02_IZDA,0.422282894,0.237784708,0.750850508,-0.010375094,2.318795408,3.434642769,-0.010375094,2.318795408,3.434642769,0.24151906,0.191067474,0.14220326,0.446448506,150,0.125631233,0.298539481
CONTROL03_IZDA,0.604220256,0.272828032,1.13078192,0.070856591,2.441310652,5.065232594,0.070856591,2.441310652,5.065232594,0.434958053,0.258752195,0.111138372,0.381817659,150,0.152145419,0.311620664
CONTROL04_DCHA,0.632208133,0.293307003,0.961922833,-0.075389384,2.222298159,3.913714626,-0.075389384,2.222298159,3.913714626,0.471860429,0.284675284,0.093345064,0.354399329,150,0.058585486,0.124669474
CONTROL04_IZDA,0.608662517,0.286492077,0.963684445,-0.057641281,2.144968004,3.757449149,-0.057641281,2.144968004,3.757449149,0.430263454,0.285365303,0.074945355,0.284089747,150,0.061780874,0.136376743
CONTROL05_DCHA,0.399521762,0.132396245,0.560299632,0.027419491,1.021602373,2.214516396,0.027419491,1.021602373,2.214516396,0.247112318,0.119443426,0.073137853,0.277935547,150,0.06986742,0.149829835
CONTROL05_IZDA,0.529867013,0.139509978,0.675149948,0.028173356,1.12091858,2.177403569,0.028173356,1.12091858,2.177403569,0.344367591,0.143312388,0.067773736,0.265579992,142,0.07866648,0.163540705
CONTROL06_DCHA,0.349731786,0.143126403,0.592611467,0.018053901,2.070624252,2.641746074,0.018053901,2.070624252,2.641746074,0.209959174,0.157451526,0.352848581,0.85614424,150,0.096251152,0.209519309
CONTROL06_IZDA,0.314806074,0.160080032,0.566132927,0.0067216,1.677073979,2.53782991,0.0067216,1.677073979,2.53782991,0.189973766,0.143028476,0.179596194,0.522198167,150,0.133797639,0.192831533
CONTROL07_DCHA,0.330778889,0.161518297,0.552224311,0.005691347,1.502684153,2.228729952,0.005691347,1.502684153,2.228729952,0.197955451,0.141673403,0.138730312,0.434820818,150,0.080948691,0.219337626
CONTROL07_IZDA,0.348219349,0.21200898,0.780247726,-0.015644164,1.866820592,3.089063569,-0.015644164,1.866820592,3.089063569,0.215587366,0.177634468,0.111207123,0.378930876,150,0.018401417,0.051024997
CONTROL08_DCHA,0.390071946,0.163714096,0.623061643,-0.029001568,1.530593046,2.401057205,-0.029001568,1.530593046,2.401057205,0.230544872,0.146575341,0.161540282,0.536913767,150,0.052793882,0.141752811
CONTROL08_IZDA,0.385568653,0.134521565,0.604774591,-0.002896475,1.216183371,2.066227159,-0.002896475,1.216183371,2.066227159,0.235382264,0.126249513,0.149844039,0.470666519,150,0.188313184,0.385694608
CONTROL09_DCHA,0.410506364,0.182864723,0.698180042,0.02293138,1.503337498,2.365448006,0.02293138,1.503337498,2.365448006,0.245325507,0.176832056,0.103165591,0.351353479,150,0.015692878,0.040406102
CONTROL09_IZDA,0.343536012,0.145622333,0.549924859,-0.00152476,1.226220635,2.018172888,-0.00152476,1.226220635,2.018172888,0.19530082,0.12271773,0.106469813,0.36307378,150,0.024812264,0.065766705
