ID,ACCELERATION__absolute_sum_of_changes,"ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",ACCELERATION__fourier_entropy__bins_100,ACCELERATION__kurtosis,ACCELERATION__large_standard_deviation__r_0.25,ACCELERATION__number_crossing_m__m_-1,ACCELERATION__number_crossing_m__m_1,ACCELERATION__quantile__q_0.2,ACCELERATION__quantile__q_0.3,ACCELERATION__quantile__q_0.6,ACCELERATION__quantile__q_0.7,ACCELERATION__quantile__q_0.8,ACCELERATION__range_count__max_1__min_-1,ACCELERATION__ratio_beyond_r_sigma__r_1,DISTANCE_ANG__kurtosis,DISTANCE_ANG__large_standard_deviation__r_0.30000000000000004,DISTANCE_ANG__longest_strike_below_mean,SMOOTHED_AMPLITUDE__absolute_sum_of_changes,"SMOOTHED_AMPLITUDE__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","SMOOTHED_AMPLITUDE__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","SMOOTHED_AMPLITUDE__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","SMOOTHED_AMPLITUDE__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","SMOOTHED_AMPLITUDE__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",SMOOTHED_AMPLITUDE__longest_strike_below_mean,SMOOTHED_AMPLITUDE__mean_abs_change,VELOCITY__absolute_sum_of_changes,"VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",VELOCITY__fourier_entropy__bins_100,VELOCITY__kurtosis,VELOCITY__large_standard_deviation__r_0.25,VELOCITY__mean_abs_change,VELOCITY__number_crossing_m__m_-1,VELOCITY__number_crossing_m__m_1,VELOCITY__quantile__q_0.2,VELOCITY__quantile__q_0.3,VELOCITY__quantile__q_0.6,VELOCITY__quantile__q_0.7,VELOCITY__quantile__q_0.8,VELOCITY__range_count__max_1__min_-1,VELOCITY__ratio_beyond_r_sigma__r_1
CONTROL01_DCHA,199.56339465252893,1.370795773234796,1.2429193333736412,1.4290372729533938,1.4034298279911794,0.9489396956581907,1.2879917955459972,0.7365973016132417,-1.1198146020704467,1.0,28.0,28.0,-2.798346103221067,-1.2031544587524257,0.941201279005656,1.735720775335866,2.582384506136325,44.0,0.46,-1.6886148342841216,1.0,7.0,20.09141972314719,0.15748157890665912,0.15679874238453773,0.18229910213643857,0.1348417431083704,0.14181224098337286,7.0,0.1348417431083704,199.56339465252893,1.370795773234796,1.2429193333736412,1.4290372729533938,1.4034298279911794,0.9489396956581907,1.2879917955459972,0.7365973016132417,-1.1198146020704467,1.0,1.3393516419632814,28.0,28.0,-2.798346103221067,-1.2031544587524257,0.941201279005656,1.735720775335866,2.582384506136325,44.0,0.46
CONTROL01_IZDA,123.13891527778176,0.832837209841617,0.459576124162556,0.7899567191334936,0.5481180904134598,0.384784910640966,0.6902546450839471,0.8996971570087499,-0.6042578390544637,0.0,22.0,24.0,-1.368495648772442,-0.6623259177248618,0.4700040683525261,0.8734574999802313,1.4878584697878667,68.0,0.37333333333333335,-1.6621225993889723,1.0,8.0,12.580228133148804,0.09588227942020408,0.09124206845106102,0.09444730424621221,0.0844310612963007,0.08420731301850921,8.0,0.0844310612963007,123.13891527778176,0.832837209841617,0.459576124162556,0.7899567191334936,0.5481180904134598,0.384784910640966,0.6902546450839471,0.8996971570087499,-0.6042578390544637,0.0,0.8264356730052468,22.0,24.0,-1.368495648772442,-0.6623259177248618,0.4700040683525261,0.8734574999802313,1.4878584697878667,68.0,0.37333333333333335
CONTROL02_DCHA,190.54214032672127,1.1156674881359545,1.1643258850701934,1.4545137241561479,1.666138425377035,0.9042769437445489,1.3098796976206888,1.2324832977354894,-1.4609488088940632,1.0,36.0,36.0,-2.4453806378059157,-1.591388148338564,0.8809893084281031,1.647735239448945,2.0840998885087365,40.0,0.49333333333333335,-1.572321623374603,1.0,6.0,17.29669992384584,0.1341757786427622,0.13210263814253495,0.1435291825006158,0.11608523438822711,0.11503478084923614,6.0,0.11608523438822711,190.54214032672127,1.1156674881359545,1.1643258850701934,1.4545137241561479,1.666138425377035,0.9042769437445489,1.3098796976206888,1.2324832977354894,-1.4609488088940632,1.0,1.2788063109175924,36.0,36.0,-2.4453806378059157,-1.591388148338564,0.8809893084281031,1.647735239448945,2.0840998885087365,40.0,0.49333333333333335
CONTROL02_IZDA,198.9649566935189,1.215604774219707,1.0055485693949293,1.43257165553497,1.3763031413054685,0.9551045845960253,1.2613402870663912,0.7373124305413514,-1.300207781187753,1.0,32.0,30.0,-3.041266611608922,-1.4304950438295747,0.4191282854720998,1.699082309104935,2.6787807981403637,51.0,0.5,-1.737729310920175,1.0,5.0,19.058702958631265,0.1520445669489342,0.14883027686288955,0.1674244698584815,0.12791075811161923,0.1299440429377686,6.0,0.12791075811161923,198.9649566935189,1.215604774219707,1.0055485693949293,1.43257165553497,1.3763031413054685,0.9551045845960253,1.2613402870663912,0.7373124305413514,-1.300207781187753,1.0,1.3353352798222744,32.0,30.0,-3.041266611608922,-1.4304950438295747,0.4191282854720998,1.699082309104935,2.6787807981403637,51.0,0.5
CONTROL03_IZDA,205.2151190820387,1.039063090061937,0.5383044446999612,1.2650016743097132,1.0700042038426643,0.8789557421188217,1.3087755086581514,1.2709941775985139,-0.9248411113899397,0.0,26.0,28.0,-2.43333333827009,-1.1493061908963134,0.3661947891218328,1.251056882044765,2.725367941732996,56.0,0.44666666666666666,-1.2176297086617827,0.0,6.0,19.467752851042135,0.1842389322491829,0.15157966144122154,0.14191992433918624,0.13065605940296734,0.1163944363053688,6.0,0.13065605940296734,205.2151190820387,1.039063090061937,0.5383044446999612,1.2650016743097132,1.0700042038426643,0.8789557421188217,1.3087755086581514,1.2709941775985139,-0.9248411113899397,0.0,1.3772826784029444,26.0,28.0,-2.43333333827009,-1.1493061908963134,0.3661947891218328,1.251056882044765,2.725367941732996,56.0,0.44666666666666666
CONTROL04_DCHA,159.9905884695592,1.0592087333489246,0.29272648169759347,0.9442339646786755,0.49166981656653613,0.33583554971119095,0.8379873504269264,0.6057241315979808,-0.5780561661502381,1.0,22.0,20.0,-2.7440167800076507,-0.2586014500743628,0.2163000593620098,0.3675653382584981,1.8360486054737284,78.0,0.3933333333333333,-1.5163485552945497,1.0,6.0,15.9871094920134,0.15883398145300245,0.130567114199011,0.13765157550805807,0.10729603685915033,0.10343583613123256,7.0,0.10729603685915033,159.9905884695592,1.0592087333489246,0.29272648169759347,0.9442339646786755,0.49166981656653613,0.33583554971119095,0.8379873504269264,0.6057241315979808,-0.5780561661502381,1.0,1.073762338721874,22.0,20.0,-2.7440167800076507,-0.2586014500743628,0.2163000593620098,0.3675653382584981,1.8360486054737284,78.0,0.3933333333333333
CONTROL04_IZDA,157.1643439653809,0.9695707315799854,0.43240323132979575,0.904973642611317,0.5473735586869546,0.34442505545687,0.8898261018091169,0.48661032953355604,-0.6524763166441354,1.0,22.0,22.0,-2.5604017594457624,-0.31534310503828733,0.09833122160628417,0.5777996950301335,1.9402853832494162,77.0,0.41333333333333333,-1.5879783408982409,1.0,6.0,15.610060171691677,0.16130274802688482,0.1332889191560891,0.1435999563042371,0.10476550450799783,0.10071572336861605,7.0,0.10476550450799783,157.1643439653809,0.9695707315799854,0.43240323132979575,0.904973642611317,0.5473735586869546,0.34442505545687,0.8898261018091169,0.48661032953355604,-0.6524763166441354,1.0,1.0547942548012141,22.0,22.0,-2.5604017594457624,-0.31534310503828733,0.09833122160628417,0.5777996950301335,1.9402853832494162,77.0,0.41333333333333333
CONTROL05_DCHA,77.78582294218785,0.36129904423023457,0.1877496720831611,0.3967444392251025,0.2326639085492463,0.19134962038286035,0.38503397423907737,1.3069491667566913,-0.3706900766620733,0.0,22.0,22.0,-0.8995421181539655,-0.27229861714564835,0.10858366514956996,0.4164871135086296,0.93233871402213,95.0,0.3466666666666667,-0.733895748929319,1.0,7.0,7.7098481348805095,0.06896742565568027,0.06482766324371367,0.05463704588611194,0.05174394721396315,0.0401176746607985,7.0,0.05174394721396315,77.78582294218785,0.36129904423023457,0.1877496720831611,0.3967444392251025,0.2326639085492463,0.19134962038286035,0.38503397423907737,1.3069491667566913,-0.3706900766620733,0.0,0.5220525029677037,22.0,22.0,-0.8995421181539655,-0.27229861714564835,0.10858366514956996,0.4164871135086296,0.93233871402213,95.0,0.3466666666666667
CONTROL05_IZDA,77.67541140708047,0.44808014706759974,0.09311971723677935,0.39316358672087015,0.12578055114416772,0.12994961112275022,0.33956225354922737,1.3940383178929112,-0.07730593167139155,0.0,18.0,20.0,-0.5713253261001512,-0.16114758174780303,0.1340959160138237,0.3117235594074089,0.7972014833808497,91.0,0.34507042253521125,0.18093593493758897,1.0,5.0,7.509993666618881,0.08680874228071317,0.06674198341349595,0.04683708609011402,0.05326236642992114,0.03545199290701499,7.0,0.05326236642992114,77.67541140708047,0.44808014706759974,0.09311971723677935,0.39316358672087015,0.12578055114416772,0.12994961112275022,0.33956225354922737,1.3940383178929112,-0.07730593167139155,0.0,0.5508894426034077,18.0,20.0,-0.5713253261001512,-0.16114758174780303,0.1340959160138237,0.3117235594074089,0.7972014833808497,91.0,0.34507042253521125
CONTROL06_DCHA,231.69790031096392,1.1325501426454783,1.1937395685830845,1.7580869142990831,2.1779015065068927,1.7575575663686764,1.6704977487842199,0.5623578570452923,-1.807785821463056,1.0,48.0,48.0,-2.3117418938460417,-2.0207581963057577,1.5587410887178053,2.108434239542753,2.31091764325066,15.0,0.6133333333333333,-1.8278699101020284,1.0,4.0,19.558838636579274,0.12643372429575675,0.1354315000498685,0.15140775643089602,0.13126737339986091,0.1359635831777845,4.0,0.13126737339986091,231.69790031096392,1.1325501426454783,1.1937395685830845,1.7580869142990831,2.1779015065068927,1.7575575663686764,1.6704977487842199,0.5623578570452923,-1.807785821463056,1.0,1.5550194651742544,48.0,48.0,-2.3117418938460417,-2.0207581963057577,1.5587410887178053,2.108434239542753,2.31091764325066,15.0,0.6133333333333333
