Fold;Model;CV;Accuracy;Acceptable_Acc;Kappa;F1;MCC;y_true;y_pred
0;LogisticRegression;kfold_5;0.4888888888888889;0.9555555555555556;0.2516268980477223;0.4801842818428185;0.2540535846591794;0;0
0;KNeighborsClassifier;kfold_5;0.5555555555555556;0.9777777777777777;0.2946708463949844;0.5076543209876543;0.32707871990640486;0;1
0;DecisionTreeClassifier;kfold_5;0.4222222222222222;0.9555555555555556;0.14598540145985395;0.43585653508134126;0.15090837278649336;0;0
0;RandomForestClassifier;kfold_5;0.6;0.9777777777777777;0.3928035982008996;0.5871881205214539;0.40115221190994893;0;0
0;AdaBoostClassifier;kfold_5;0.6;0.9777777777777777;0.3769230769230768;0.5498454264411712;0.4008365361244696;0;0
0;XGBClassifier;kfold_5;0.5333333333333333;1.0;0.3076923076923077;0.5257352203151662;0.3093870816608495;0;0
1;LogisticRegression;kfold_5;0.6590909090909091;0.9318181818181818;0.4859813084112149;0.6321151966313256;0.4932456489581676;1;1
1;KNeighborsClassifier;kfold_5;0.6590909090909091;0.9090909090909091;0.4463087248322146;0.6176978114478114;0.48281189815262426;1;1
1;DecisionTreeClassifier;kfold_5;0.6136363636363636;0.9772727272727273;0.4367469879518072;0.618006993006993;0.4380789607276013;1;2
1;RandomForestClassifier;kfold_5;0.7272727272727273;0.9772727272727273;0.5741935483870968;0.6668076109936575;0.5954809373785777;1;1
1;AdaBoostClassifier;kfold_5;0.7045454545454546;1.0;0.5387096774193549;0.6467230443974631;0.5586815536079914;1;1
1;XGBClassifier;kfold_5;0.6590909090909091;0.9545454545454546;0.4745222929936306;0.6335871025526196;0.48191682281217346;1;1
2;LogisticRegression;kfold_5;0.5454545454545454;0.9545454545454546;0.3141075604053001;0.5320996010259335;0.3159708665214221;1;1
2;KNeighborsClassifier;kfold_5;0.6363636363636364;0.8636363636363636;0.3957081545064377;0.5465993265993266;0.44795637534126287;1;1
2;DecisionTreeClassifier;kfold_5;0.5;0.8636363636363636;0.25019364833462443;0.48449883449883446;0.25243281977266546;1;0
2;RandomForestClassifier;kfold_5;0.7272727272727273;0.9318181818181818;0.5731608730800324;0.6890993265993266;0.596824182568131;1;1
2;AdaBoostClassifier;kfold_5;0.7045454545454546;0.9090909090909091;0.5405622489959839;0.6442837465564738;0.5623466763205415;1;1
2;XGBClassifier;kfold_5;0.6136363636363636;0.9090909090909091;0.41744548286604355;0.5848910407733938;0.4282811689609953;1;1
3;LogisticRegression;kfold_5;0.6136363636363636;0.9545454545454546;0.3996789727126806;0.5907981201321583;0.40530208439767323;0;0
3;KNeighborsClassifier;kfold_5;0.6363636363636364;0.9545454545454546;0.42810722989439476;0.5959595959595959;0.4384917868631401;0;0
3;DecisionTreeClassifier;kfold_5;0.5909090909090909;0.9090909090909091;0.37242472266244053;0.5866046831955923;0.37637789244918085;0;1
3;RandomForestClassifier;kfold_5;0.75;0.9318181818181818;0.5912162162162162;0.7164007421150278;0.6297684263444107;0;0
3;AdaBoostClassifier;kfold_5;0.7272727272727273;0.9318181818181818;0.5618257261410788;0.6931112365894975;0.5837117932841984;0;0
3;XGBClassifier;kfold_5;0.7272727272727273;0.9545454545454546;0.5696821515892421;0.7076251646903821;0.5837197895476582;0;0
4;LogisticRegression;kfold_5;0.45454545454545453;0.9090909090909091;0.17628705148205914;0.44895172656800564;0.1789072407397279;1;0
4;KNeighborsClassifier;kfold_5;0.6363636363636364;0.8409090909090909;0.4267100977198697;0.5751803751803751;0.44736351516101697;1;0
4;DecisionTreeClassifier;kfold_5;0.45454545454545453;0.8181818181818182;0.2142857142857143;0.45003607503607507;0.21492920349509811;1;1
4;RandomForestClassifier;kfold_5;0.5681818181818182;0.8636363636363636;0.36474164133738607;0.5475634083784553;0.3684719315538063;1;0
4;AdaBoostClassifier;kfold_5;0.5681818181818182;0.8863636363636364;0.3427672955974843;0.5593319559228651;0.3513625414957636;1;0
4;XGBClassifier;kfold_5;0.5681818181818182;0.8636363636363636;0.36377473363774737;0.5617715617715617;0.3646539556773134;1;0
