,Model,CV_Mean,CV_Std,Train_Acc,Val_Acc,Test_Acc,Overfit,Dataset,Features
0,XGBClassifier,0.5055913978494624,0.11714095160808055,1.0,0.6363636363636364,0.47058823529411764,0.5294117647058824,Original,Classical
1,RandomForestClassifier,0.5707526881720429,0.06768695498833252,0.987012987012987,0.6363636363636364,0.5588235294117647,0.4281894576012223,Original,Classical
2,LogisticRegression,0.5064516129032258,0.04279515858523098,0.5844155844155844,0.5454545454545454,0.47058823529411764,0.11382734912146675,Original,Classical
3,XGBClassifier,0.3963440860215054,0.06711469294782525,1.0,0.42424242424242425,0.4117647058823529,0.5882352941176471,Original,Fi_Tsfresh
4,RandomForestClassifier,0.3894623655913979,0.056565272164382265,0.922077922077922,0.3939393939393939,0.5294117647058824,0.3926661573720397,Original,Fi_Tsfresh
5,LogisticRegression,0.4868817204301076,0.016070143391199478,0.512987012987013,0.45454545454545453,0.5882352941176471,-0.07524828113063409,Original,Fi_Tsfresh
6,XGBClassifier,0.7738095238095238,0.01992047682223993,1.0,0.7888888888888889,0.8333333333333334,0.16666666666666663,Augmented,Classical
7,RandomForestClassifier,0.7714285714285714,0.026513163632523904,0.9928571428571429,0.8555555555555555,0.8,0.19285714285714284,Augmented,Classical
8,LogisticRegression,0.6190476190476191,0.05832118435198043,0.6452380952380953,0.6555555555555556,0.5888888888888889,0.05634920634920637,Augmented,Classical
9,XGBClassifier,0.7047619047619047,0.013883218797250714,1.0,0.7555555555555555,0.7111111111111111,0.28888888888888886,Augmented,Fi_Tsfresh
10,RandomForestClassifier,0.7,0.036421567954234194,0.9476190476190476,0.7333333333333333,0.6777777777777778,0.26984126984126977,Augmented,Fi_Tsfresh
11,LogisticRegression,0.43809523809523804,0.025421614885788844,0.45714285714285713,0.4,0.4666666666666667,-0.009523809523809545,Augmented,Fi_Tsfresh
